GSC District,LGA 2011 NAME,ERP_2011,ERP_2016,ERP_2021,ERP_2026,ERP_2031,ERP_2036,ERP_2041,ERP_2046,ERP_2051,ERP_2056,
Central,Ashfield (A),"42,763","44,341","46,730","47,858","49,132","50,005","53,026","56,120","59,181","62,366",
Central,Botany Bay (C),"41,504","48,462","59,320","65,006","68,950","72,709","77,916","83,130","88,382","93,678",
Central,Burwood (A),"34,951","39,279","45,794","49,889","54,115","58,228","62,554","66,562","70,353","73,753",
Central,Canada Bay (A),"80,065","91,144","95,527","104,199","113,809","123,043","131,768","140,491","149,383","158,400",
Central,Leichhardt (A),"55,642","58,243","61,002","63,010","65,509","67,986","72,932","77,886","82,874","87,905",
Central,Marrickville (A),"81,142","87,501","93,295","98,802","105,956","112,893","120,908","129,050","137,332","145,719",
Central,Randwick (C),"137,792","146,260","150,549","155,368","167,926","180,161","192,521","204,899","217,366","229,937",
Central,Rockdale (C),"103,503","113,879","125,450","134,586","144,779","154,262","164,524","174,200","183,955","194,171",
Central,Strathfield (A),"36,900","41,098","49,795","55,495","60,076","64,850","69,317","73,603","78,009","82,811",
Central,Sydney (C),"183,260","211,397","243,218","265,603","290,298","312,910","334,259","355,543","376,913","398,503",
Central,Waverley (A),"68,698","72,252","74,436","75,353","76,444","77,282","82,578","87,882","93,224","98,611",
Central,Woollahra (A),"56,320","58,533","59,650","60,574","61,946","63,132","67,517","71,889","76,277","80,626",
North,Hornsby (A),"161,299","170,237","185,593","195,567","206,047","215,096","227,405","239,890","252,607","266,728",
North,Hunters Hill (A),"13,897","14,541","14,807","15,189","15,562","16,193","16,949","17,668","18,337","19,560",
North,Ku-ring-gai (A),"114,902","123,842","131,344","138,545","146,959","154,869","165,875","176,896","187,997","199,190",
North,Lane Cove (A),"32,666","36,653","39,873","42,593","46,756","50,775","54,462","58,214","61,867","65,525",
North,Manly (A),"42,818","44,584","45,315","46,021","47,414","48,881","52,540","56,204","59,894","63,615",
North,Mosman (A),"29,351","30,368","30,815","31,145","31,674","32,243","34,425","36,610","38,810","41,029",
North,North Sydney (A),"68,433","74,198","79,592","84,586","90,180","95,384","102,323","109,226","116,142","122,995",
North,Pittwater (A),"60,455","64,007","67,114","71,027","75,554","80,645","86,364","92,091","97,859","103,675",
North,Ryde (C),"109,298","120,384","135,596","149,324","161,731","172,943","185,329","197,794","210,436","222,227",
North,Warringah (A),"148,423","155,120","157,604","160,928","164,666","168,432","180,031","191,646","203,345","215,142",
North,Willoughby (C),"69,968","74,039","76,346","78,941","82,619","86,451","92,178","97,899","103,823","109,945",
South,Bankstown (C),"191,190","204,465","218,118","235,062","251,723","269,393","288,500","307,894","327,452","347,462",
South,Canterbury (C),"144,876","156,559","174,337","192,224","212,494","231,693","247,751","264,175","280,756","297,703",
South,Hurstville (C),"83,023","88,711","95,268","100,678","105,925","110,988","119,396","128,502","137,646","146,315",
South,Kogarah (C),"58,894","62,740","65,081","67,593","70,697","73,886","79,696","85,413","91,185","96,807",
South,Sutherland Shire (A),"219,637","228,862","235,412","242,853","251,356","259,681","277,947","296,239","314,662","333,240",
South West,Camden (A),"58,440","80,659","108,311","145,738","183,194","221,854","237,974","254,038","270,247","286,523",
South West,Campbelltown (C),"151,353","164,755","178,174","197,389","214,381","233,236","250,052","266,878","283,900","300,773",
South West,Fairfield (C),"197,118","207,037","212,042","218,006","222,424","228,403","244,812","261,243","277,790","294,475",
South West,Liverpool (C),"188,044","213,709","242,159","276,355","303,464","334,363","359,121","383,997","408,937","434,438",
South West,Wollondilly (A),"44,642","49,646","51,551","57,356","64,180","71,985","77,185","82,408","87,682","93,007",
West,Blue Mountains (C),"78,302","81,734","82,723","84,409","86,654","90,128","96,823","103,528","110,280","117,089",
West,Hawkesbury (C),"64,987","68,447","71,374","74,496","78,123","82,950","88,483","94,282","100,265","106,299",
West,Penrith (C),"184,117","204,799","221,276","236,927","252,751","269,548","289,057","308,590","328,259","348,094",
West Central,Auburn (C),"77,779","92,362","114,613","130,111","145,066","160,051","171,712","183,259","194,934","206,481",
West Central,Blacktown (C),"314,875","351,855","390,338","436,996","479,577","525,544","563,657","601,826","640,267","679,032",
West Central,Holroyd (C),"101,895","109,900","121,641","129,092","138,037","146,925","157,193","167,420","177,720","188,086",
West Central,Parramatta (C),"174,226","196,004","221,708","251,115","282,711","312,949","337,828","362,173","386,655","410,137",
West Central,The Hills Shire (A),"178,844","199,405","233,435","271,872","304,711","338,924","363,680","388,665","413,545","438,972",
xGSC Newcastle,Cessnock (C),"52,641","56,299","57,779","58,357","61,375","63,372","65,159","66,939","68,724","70,524",
xGSC Newcastle,Dungog (A),"8,556","8,755","8,874","8,948","8,978","8,972","8,943","8,914","8,884","8,854",
xGSC Newcastle,Gosford (C),"169,018","175,155","181,593","187,700","192,302","200,729","208,767","216,816","224,923","233,097",
xGSC Newcastle,Lake Macquarie (C),"194,555","200,080","206,525","212,393","218,079","224,288","229,908","235,537","241,205","246,921",
xGSC Newcastle,Maitland (C),"69,800","78,036","85,610","93,229","101,169","104,499","107,542","110,577","113,625","116,698",
xGSC Newcastle,Newcastle (C),"157,766","166,958","176,492","185,816","194,837","200,972","206,692","212,407","218,156","223,954",
xGSC Newcastle,Port Stephens (A),"72,020","79,404","84,925","90,192","95,092","97,897","100,473","103,078","105,717","108,378",
xGSC Newcastle,Singleton (A),"23,495","24,673","28,096","32,214","33,723","34,713","35,684","36,666","37,663","38,668",
xGSC Newcastle,Wyong (A),"153,639","164,412","175,643","187,214","198,760","214,313","229,699","245,107","260,625","276,274",
xGSC Wollongong,Kiama (A),"20,741","22,074","23,350","24,605","25,827","27,013","28,165","29,319","30,480","31,652",
xGSC Wollongong,Shellharbour (C),"66,218","71,130","76,201","81,103","85,856","90,478","95,010","99,548","104,118","108,727",
xGSC Wollongong,Shoalhaven (C),"96,006","99,389","102,538","105,344","107,683","109,492","110,801","112,111","113,430","114,761",
xGSC Wollongong,Wingecarribee (A),"46,118","47,732","49,096","50,276","51,191","51,802","52,144","52,487","52,832","53,180",
xGSC Wollongong,Wollongong (C),"202,068","211,809","220,801","229,288","237,176","244,450","251,176","257,911","264,695","271,535",
,,,,,,,,,,,,
<?xml version="1.0" encoding="utf-8"?>
<result>DownloadedTZP2016 Population (ERP) by LGA 2011-2056.csv</result>
